name,sku,description,unit_price,unit,brand,supplier_name
"C1192A CHEVROLET 350,DEUTZ A-3",1 6C-1192A,,7696.13,unidad,FRAM,BERAL SRL
"C11950PLA FIAT 450,650,780 HAS",1 6C-11950PLA,,6073.13,unidad,FRAM,BERAL SRL
C12360 CHEVROLET SPINCOBALT1.3,1 6C-12360,,11099.17,unidad,FRAM,BERAL SRL
C139PL JOHN DEERE 730,1 7C-139PL,,4363.52,unidad,FRAM,BERAL SRL
C1721 HIDRAULICO JOHN DEERE,1 6C-1721,,22355.41,unidad,FRAM,BERAL SRL
C175E CHEVROLET KODIAK 15190 F,1 7C175 E,,79630.96,unidad,FRAM,BERAL SRL
C3936 JOHN DEERE 4040,1 6C-3936,,61423.83,unidad,FRAM,BERAL SRL
C4120 CAMION FIAT673,1 6C-4120A,,4022.62,unidad,FRAM,BERAL SRL
C4643 FIAT AGRI TRACTORES,1 6C-4643,,17062.7,unidad,FRAM,BERAL SRL
"C4661 RENAULT 18 GTD,TRAFIC DI",1 6C-4661,,8167.32,unidad,FRAM,BERAL SRL
C4834 IVECO DAYLI,1 6C-4834,,5760.3,unidad,FRAM,BERAL SRL
"C4880 DEUTZ TRACTOR DX-90,AX-9",1 6C-4880,,8272.03,unidad,FRAM,BERAL SRL
C4881 DEUTZ ZANELLO CON MOTOR,1 6C-4881A,,8690.86,unidad,FRAM,BERAL SRL
"C4986A FORD TRANSIT 2,5L",1 6C-4986A,,16229.92,unidad,FRAM,BERAL SRL
C533A CITROEN C4 CACTUS 1.6HDi,1 6C-533A,,14090.9,unidad,FRAM,BERAL SRL
C5563 PEUGEOT 405 GASOLERO,1 6C-5563,,6954.78,unidad,FRAM,BERAL SRL
C5783 PEUGEOT 406 SVDT 8/97-->,1 6C-5783,,5549.59,unidad,FRAM,BERAL SRL
C5932 MERCEDES BENZ 1938 Elect,1 6C-5932,,16596.41,unidad,FRAM,BERAL SRL
C5940 RENULT MEGANE TURBO DIES,1 6C-5940,,5993.55,unidad,FRAM,BERAL SRL
"C844PLA DEUTZ A-30,A-40,A-45,",1 7C-844PLA,,5392.52,unidad,FRAM,BERAL SRL
C8820 RENAULT MASTER,1 6C-8820,,6753.74,unidad,FRAM,BERAL SRL
C8826 MERCEDES BENZ 712 C 914C,1 6C-8826,,10743.16,unidad,FRAM,BERAL SRL
C8827 PEUGEOT 206 DIESEL 8/99,1 6C-8827,,7802.93,unidad,FRAM,BERAL SRL
C8837 RENAULT EXPRESS KANGOO,1 6C-8837,,5968.42,unidad,FRAM,BERAL SRL
